QueryNumber,OriginalNodePath,SyntheticNodePath,OriginalNodeName,SyntheticNodeName,OriginalDepth,SyntheticDepth,OriginalSimilarityState,SyntheticSimilarityState,OriginalMatchNumber,SyntheticMatchNumber
44,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,309,309
44,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,12,0,0,308,308
44,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Hash Join/Seq Scan,Seq Scan,Seq Scan,10,12,0,0,305,305
44,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,13,0,0,304,304
44,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,5,5,0,0,303,303
44,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,7,0,0,307,307
45,Aggregate/Gather/Nested Loop/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Index Scan,Index Scan,Index Scan,4,7,0,0,313,313
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,6,0,0,319,319
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,14,0,0,314,314
45,Aggregate,Sort,Aggregate,Sort,0,0,0,0,321,321
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,12,0,0,317,317
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,8,0,0,320,320
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,13,0,0,315,315
45,Aggregate/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Index Scan,Index Scan,Index Scan,3,4,0,0,312,312
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,13,0,0,316,316
45,Aggregate/Gather/Nested Loop/Nested Loop/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Hash Join/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Index Scan,Index Scan,Index Scan,5,10,0,0,318,318
46,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Index Scan,Index Scan,Index Scan,2,4,0,0,325,325
46,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,13,0,0,327,327
46,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,12,0,0,329,329
46,Aggregate/Nested Loop/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,3,5,0,0,326,326
46,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Index Scan,Index Scan,Index Scan,5,9,0,0,331,331
46,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,12,0,0,328,328
46,Aggregate,Sort,Aggregate,Sort,0,0,0,0,333,333
46,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,7,0,0,332,332
46,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,11,0,0,330,330
47,Aggregate,Sort,Aggregate,Sort,0,0,0,0,344,344
47,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,12,0,0,339,339
47,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,13,0,0,338,338
47,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,11,0,0,341,341
47,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,12,0,0,340,340
47,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,7,0,0,343,343
47,Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Index Scan,Index Scan,Index Scan,2,4,0,0,336,336
47,Aggregate/Nested Loop/Nested Loop/Gather/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Index Scan,Index Scan,Index Scan,5,9,0,0,342,342
47,Aggregate/Nested Loop/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,3,5,0,0,337,337
48,Aggregate,GroupAggregate,Aggregate,GroupAggregate,0,0,0,0,352,352
48,Aggregate/Nested Loop/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,9,0,0,349,349
48,Aggregate/Nested Loop/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,10,0,0,347,347
48,Aggregate/Nested Loop/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,8,0,0,348,348
48,Aggregate/Nested Loop/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,7,0,0,350,350
48,Aggregate/Nested Loop/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,4,0,0,351,351
49,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,9,0,0,357,357
49,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,8,0,0,356,356
49,Aggregate,GroupAggregate,Aggregate,GroupAggregate,0,0,0,0,360,360
49,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,10,0,0,355,355
49,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,4,0,0,359,359
49,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,7,0,0,358,358
50,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,7,0,0,366,366
50,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,9,0,0,365,365
50,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,10,0,0,363,363
50,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,8,0,0,364,364
50,Aggregate,GroupAggregate,Aggregate,GroupAggregate,0,0,0,0,368,368
50,Aggregate/Gather/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,4,0,0,367,367
51,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,4,4,0,0,375,375
51,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,10,8,0,0,372,372
51,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,9,7,0,0,374,374
51,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,9,0,0,373,373
51,Aggregate,GroupAggregate,Aggregate,GroupAggregate,0,0,0,0,376,376
51,Aggregate/Gather/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,11,10,0,0,371,371
52,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,14,9,0,0,380,380
52,Finalize Aggregate,GroupAggregate,Finalize Aggregate,GroupAggregate,0,0,0,0,384,384
52,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,12,7,0,0,381,381
52,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,8,4,0,0,382,382
52,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,Index Only Scan,Index Only Scan,6,8,0,0,383,383
52,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,15,10,0,0,379,379
53,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,15,10,0,0,386,386
53,Finalize Aggregate,GroupAggregate,Finalize Aggregate,GroupAggregate,0,0,0,0,391,391
53,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,4,0,0,389,389
53,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,Index Only Scan,Index Only Scan,6,8,0,0,390,390
53,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,14,9,0,0,387,387
53,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,12,7,0,0,388,388
54,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,12,7,0,0,395,395
54,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,15,10,0,0,393,393
54,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,4,0,0,396,396
54,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,14,9,0,0,394,394
54,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,Index Only Scan,Index Only Scan,6,8,0,0,397,397
54,Finalize Aggregate,GroupAggregate,Finalize Aggregate,GroupAggregate,0,0,0,0,398,398
55,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,11,7,0,0,402,402
55,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,15,10,0,0,400,400
55,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,Index Only Scan,Index Only Scan,6,8,0,0,404,404
55,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,14,9,0,0,401,401
55,Finalize Aggregate,GroupAggregate,Finalize Aggregate,GroupAggregate,0,0,0,0,405,405
55,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,4,0,0,403,403
56,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,14,10,0,0,407,407
56,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,4,0,0,410,410
56,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,10,7,0,0,409,409
56,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Index Only Scan,Index Only Scan,Index Only Scan,6,8,0,0,411,411
56,Finalize Aggregate,GroupAggregate,Finalize Aggregate,GroupAggregate,0,0,0,0,412,412
56,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,GroupAggregate/Gather Merge/Sort/Parallel Hash Join/Parallel Hash/Parallel Hash Join/Parallel Hash/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,13,9,0,0,408,408
57,Finalize Aggregate/Gather/Partial Aggregate/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Parallel Hash Join/Parallel Hash/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Nested Loop/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Index Scan,Index Scan,Index Scan,12,8,0,0,415,415
